code,date,number 1,number 2,number 3,number 4,number 5,number 6
1,01/08/2017,5,10,14,23,24,38
2,03/08/2017,4,9,24,25,27,45
3,05/08/2017,1,5,11,32,40,45
4,08/08/2017,19,36,39,41,46,51
5,10/08/2017,10,11,19,41,50,54
6,12/08/2017,6,16,20,32,38,51
7,15/08/2017,7,11,19,32,33,51
8,17/08/2017,11,12,20,30,32,34
9,19/08/2017,7,11,13,15,26,51
10,22/08/2017,10,24,31,32,38,44
11,24/08/2017,5,16,18,37,42,46
12,26/08/2017,17,25,30,31,36,41
13,29/08/2017,4,12,15,23,24,41
14,31/08/2017,8,20,27,35,36,47
15,02/09/2017,5,9,11,18,19,37
16,05/09/2017,1,2,8,13,23,39
17,07/09/2017,4,18,22,31,32,40
18,09/09/2017,1,15,23,36,43,54
19,12/09/2017,6,10,12,47,48,51
20,14/09/2017,22,23,32,43,44,51
21,16/09/2017,9,12,21,26,29,52
22,19/09/2017,3,32,36,41,44,53
23,21/09/2017,9,12,16,24,43,51
24,23/09/2017,7,8,27,36,44,53
25,26/09/2017,14,15,18,30,36,49
26,28/09/2017,20,27,28,31,39,47
27,30/09/2017,4,17,23,25,34,46
28,03/10/2017,21,31,35,41,46,50
29,05/10/2017,1,3,14,19,35,41
30,07/10/2017,31,34,40,42,43,49
31,10/10/2017,29,33,43,44,45,50
32,12/10/2017,5,8,11,31,37,42
33,14/10/2017,14,18,29,35,44,49
34,17/10/2017,1,26,36,40,50,54
35,19/10/2017,6,15,17,24,40,45
36,21/10/2017,4,9,13,16,18,49
37,24/10/2017,1,2,9,13,32,35
38,26/10/2017,2,10,15,30,34,50
39,28/10/2017,13,18,35,36,41,48
40,31/10/2017,7,13,24,45,47,52
41,02/11/2017,3,9,12,21,51,52
42,04/11/2017,2,8,12,44,46,52
43,07/11/2017,19,32,36,37,42,54
44,09/11/2017,2,3,6,23,34,36
45,11/11/2017,12,26,33,35,36,44
46,14/11/2017,20,24,29,41,47,49
47,16/11/2017,1,16,22,25,47,48
48,18/11/2017,11,12,26,42,50,54
49,21/11/2017,5,8,23,37,38,54
50,23/11/2017,1,2,3,18,25,50
51,25/11/2017,2,9,16,46,52,55
52,28/11/2017,2,19,39,49,51,53
53,30/11/2017,5,13,26,37,53,55
54,02/12/2017,9,37,45,50,53,54
55,05/12/2017,27,38,40,42,46,55
56,07/12/2017,3,14,26,35,44,54
57,09/12/2017,5,34,35,42,49,52
58,12/12/2017,6,7,8,21,32,39
59,14/12/2017,11,12,22,28,46,50
60,16/12/2017,5,23,37,41,43,53
61,19/12/2017,2,3,20,25,38,44
62,21/12/2017,22,23,27,35,37,46
63,23/12/2017,7,8,9,13,28,44
64,26/12/2017,7,11,13,18,26,42
65,28/12/2017,7,18,26,29,31,35
66,30/12/2017,8,9,36,37,39,50
67,02/01/2018,4,7,8,34,37,47
68,04/01/2018,1,7,31,35,46,55
69,06/01/2018,4,11,24,35,41,45
70,09/01/2018,18,25,28,46,50,51
71,11/01/2018,4,7,30,35,37,45
72,13/01/2018,3,21,25,26,51,55
73,16/01/2018,6,27,33,41,42,49
74,18/01/2018,12,24,28,30,36,39
75,20/01/2018,2,7,15,16,41,45
76,23/01/2018,3,10,15,23,41,53
77,25/01/2018,1,10,30,44,45,50
78,27/01/2018,21,26,36,38,40,50
79,30/01/2018,15,19,24,51,53,55
80,01/02/2018,1,7,8,9,39,43
81,03/02/2018,12,29,42,48,54,55
82,06/02/2018,1,20,29,31,43,53
83,08/02/2018,21,22,29,37,41,50
84,10/02/2018,8,10,19,25,36,46
85,13/02/2018,9,25,26,30,42,54
86,17/02/2018,16,22,28,29,35,43
87,20/02/2018,1,2,21,24,50,52
88,22/02/2018,11,14,32,36,42,48
89,24/02/2018,5,7,24,32,45,49
90,27/02/2018,8,16,23,28,44,49
91,01/03/2018,4,5,7,17,20,38
92,03/03/2018,4,10,32,37,47,52
93,06/03/2018,2,6,13,22,40,48
94,08/03/2018,14,17,18,23,41,52
95,10/03/2018,9,20,27,31,48,49
96,13/03/2018,1,2,17,46,47,49
97,15/03/2018,15,20,23,28,39,49
98,17/03/2018,3,14,28,35,50,52
99,20/03/2018,11,40,43,46,49,55
100,22/03/2018,1,8,24,33,34,41
101,24/03/2018,1,30,38,45,48,50
102,27/03/2018,9,13,14,15,54,55
103,29/03/2018,5,27,35,39,46,52
104,31/03/2018,3,7,31,43,51,53
105,03/04/2018,20,21,39,42,51,53
106,05/04/2018,7,9,17,25,31,32
107,07/04/2018,12,24,33,34,36,53
108,10/04/2018,1,22,25,31,36,48
109,12/04/2018,4,29,35,37,42,54
110,14/04/2018,2,10,14,26,45,54
111,17/04/2018,2,10,26,27,31,38
112,19/04/2018,4,17,19,35,49,55
113,21/04/2018,16,18,41,43,46,55
114,24/04/2018,17,18,24,40,41,46
115,26/04/2018,23,26,29,31,36,54
116,28/04/2018,12,19,22,29,32,46
117,01/05/2018,1,7,20,23,25,38
118,03/05/2018,23,27,33,37,39,49
119,05/05/2018,16,32,33,37,40,48
120,08/05/2018,3,16,23,24,38,42
121,10/05/2018,2,6,8,34,39,43
122,12/05/2018,1,9,26,38,54,55
123,15/05/2018,3,6,29,37,44,49
124,17/05/2018,13,31,38,45,53,55
125,19/05/2018,33,35,45,52,53,55
126,22/05/2018,4,5,8,17,35,47
127,24/05/2018,24,25,26,29,36,48
128,26/05/2018,7,12,28,31,40,44
129,29/05/2018,9,13,17,18,46,50
130,31/05/2018,3,15,18,25,26,29
131,02/06/2018,5,7,17,22,32,33
132,05/06/2018,11,21,26,32,51,52
133,07/06/2018,11,16,18,26,46,47
134,09/06/2018,9,23,25,39,52,53
135,12/06/2018,4,13,23,27,29,35
136,14/06/2018,3,15,32,45,48,54
137,16/06/2018,14,15,21,30,44,47
138,19/06/2018,16,17,31,37,41,52
139,21/06/2018,2,8,19,23,25,33
140,23/06/2018,6,8,13,23,46,55
141,26/06/2018,17,18,21,39,40,43
142,28/06/2018,11,31,33,43,48,51
143,30/06/2018,3,12,23,24,30,33
144,03/07/2018,30,32,34,47,48,49
145,05/07/2018,4,15,22,24,43,51
146,07/07/2018,2,30,45,48,49,53
147,10/07/2018,6,10,16,20,27,29
148,12/07/2018,8,15,18,21,24,49
149,14/07/2018,4,19,23,34,38,50
150,17/07/2018,5,14,22,27,31,40
151,19/07/2018,11,13,28,34,44,47
152,21/07/2018,7,31,33,37,46,52
153,24/07/2018,11,18,34,37,50,53
154,26/07/2018,21,24,33,37,40,46
155,28/07/2018,11,16,22,25,30,40
156,31/07/2018,1,5,27,31,47,50
157,02/08/2018,6,11,16,17,41,55
158,04/08/2018,11,12,24,32,41,48
159,07/08/2018,3,9,15,20,39,49
160,09/08/2018,24,29,32,33,49,55
161,11/08/2018,16,17,31,33,42,44
162,14/08/2018,29,30,36,38,45,52
163,16/08/2018,6,10,34,46,48,51
164,18/08/2018,7,33,36,39,51,55
165,21/08/2018,9,12,14,23,32,46
166,23/08/2018,14,18,27,38,39,53
167,25/08/2018,10,11,15,32,40,48
168,28/08/2018,2,10,15,31,39,48
169,30/08/2018,5,22,28,42,49,54
170,01/09/2018,2,8,20,21,28,36
171,04/09/2018,8,18,20,29,34,37
172,06/09/2018,4,11,15,21,24,27
173,08/09/2018,9,11,12,24,35,43
174,11/09/2018,13,17,28,42,45,49
175,13/09/2018,4,6,7,26,40,44
176,15/09/2018,2,5,28,30,46,50
177,18/09/2018,8,21,32,43,48,53
